Név|Konzol|Műfaj|Kiadó|Fejlesztő|Kritikusi pontszám|Összes eladás|Kiadás éve
Puella Magi Madoka Magica: The Battle Pentagram|PSV|Akció|Namco Bandai Games|ArtDink|7.3|0.08|2013
Tom Clancy's Splinter Cell: Pandora Tomorrow|GC|Akció|Ubisoft|Ubisoft|6.7|0.08|2004
Knights Contract|X360|Akció|Namco Bandai|Game Republic|5.0|0.08|2011
Dynasty Warriors 9|XOne|Akció|Tecmo Koei|Omega Force|7.3|0.08|2018
Order Up!!|PS3|Akció|Ignition Entertainment|SuperVillain Studios|7.3|0.08|2012
Knights in the Nightmare|DS|Szerepjáték|Atlus|Sting|7.5|0.08|2009
Nights of Azure|PSV|Szerepjáték|Tecmo Koei|Gust|7.3|0.08|2016
Zoids: Legacy|GBA|Szerepjáték|Atari|Amedio|7.3|0.08|2004
Kamen Rider Travelers Record|3DS|Szerepjáték|Bandai Namco Games|7thChord|7.3|0.08|2013
Dungeon Maker II: The Hidden War|PSP|Szerepjáték|UFO Interactive|Global A Entertainment|7.3|0.08|2008
Risen 3: Titan Lords|PS3|Szerepjáték|Deep Silver|Piranha Bytes|7.3|0.08|2014
Blacksite: Area 51|PS3|Lövöldözős|Midway Games|Midway Studios Austin|7.3|0.08|2007
Mad Dog McCree: Gunslinger Pack|Wii|Lövöldözős|Majesco|Digital Leisure|7.3|0.08|2009
The Legend of Heroes: Trails in the Sky First Chapter|PSV|Szerepjáték|Kadokawa Shoten|Nihon Falcom Corporation|7.3|0.08|2015
PoPoLoCrois (JP sales)|PSP|Szerepjáték|Agetec|G-Artists|7.3|0.08|2005
Ken to Mahou to Gakuen Mono. 2|PSP|Szerepjáték|Acquire|ZeroDiv|7.3|0.08|2009
Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari|DS|Szerepjáték|Banpresto|Banpresto|7.3|0.08|2007
Ephemeral Fantasia|PS2|Szerepjáték|Konami|Konami|5.7|0.08|2001
Koudelka|PS|Szerepjáték|SNK|Sacnoth|6.5|0.08|1999
Lost Dimension|PS3|Szerepjáték|Atlus|Lancarse|7.3|0.08|2015
RockMan EXE 4.5 Real Operation|GBA|Szerepjáték|Capcom|Capcom|7.3|0.08|2004
Super Robot Taisen OG Saga: Endless Frontier|DS|Szerepjáték|Atlus|Monolith Soft|7.3|0.08|2009
Ogre Battle Series: Tactics Ogre|PS|Szerepjáték|Atlus|Quest Corporation|7.9|0.08|1998
Atelier Firis: The Alchemist and the Mysterious Journey|PS4|Szerepjáték|Tecmo Koei|Gust|7.3|0.08|2017
Final Fantasy XI: Vana'diel Collection 2008|PS2|Szerepjáték|Square Enix|Square Enix|7.3|0.08|2007
SaGa 3: Jikuu no Hasha - Shadow or Light|DS|Szerepjáték|Square Enix|Square Enix|7.3|0.08|2011
Shining Force: Resurrection of the Dark Dragon|GBA|Szerepjáték|Atlus|Amusement Vision|7.8|0.08|2004
Shining Soul II|GBA|Szerepjáték|Atlus|Grasshopper Manufacture|7.3|0.08|2004
Shin Megami Tensei: Digital Devil Saga 2|PS2|Szerepjáték|Atlus|Atlus Co.|8.1|0.08|2005
Samurai Warriors Chronicles 3|3DS|Akció|Tecmo Koei|Omega Force|7.3|0.08|2015
Bladestorm: Nightmare|XOne|Akció|Tecmo Koei|Omega Force|7.3|0.08|2015
Jaws: Ultimate Predator|Wii|Akció|Majesco|Tectonic Studios|7.3|0.08|2011
Ghostbusters (2016)|PS4|Akció|Activision|FireForge Games|7.3|0.08|2016
Rescue Heroes: Billy Blazes|GBA|Akció|Vivendi Games|WayForward Technologies|7.3|0.08|2003
Sushi Academy|DS|Akció|City Interactive|DTP Entertainment|7.3|0.08|2009
DaGeDar|DS|Akció|GameMill|GameMill Entertainment|7.3|0.08|2011
Ultimate Card Games DS|DS|Stratégia|Telegames|Unknown|7.3|0.08|2008
The Idolmaster: Gravure For You! Vol. 3|PS3|Akció|Namco Bandai|Unknown|7.3|0.08|2011
Metal Gear Survive|XOne|Akció|Konami Digital Entertainment|Konami Digital Entertainment|7.3|0.08|2018
Dynasty Warriors 3|XB|Akció|KOEI|Omega Force|7.3|0.08|2002
Auto Destruct|PS|Akció|Electronic Arts|Neurostone|7.3|0.08|1998
Resident Evil 3: Nemesis|GC|Akció|Capcom|Capcom|5.7|0.08|2003
Aliens in the Attic|Wii|Akció|Playlogic Game Factory|Playlogic Game Factory|7.3|0.08|2009
Dead Island Definitive Collection|XOne|Akció|Deep Silver|Techland|7.3|0.08|2016
Cartoon Network: Battle Crashers|NS|Akció|GameMill Entertainment|Magic Pockets|7.3|0.08|2017
Looney Tunes: Acme Arsenal|X360|Akció|Warner Bros. Interactive|Red Tribe|7.3|0.08|2007
Batman: Dark Tomorrow|GC|Akció|Kemco|HotGen, Ltd.|2.3|0.08|2003
Tomb Raider: Legend|GC|Akció|Eidos Interactive|Crystal Dynamics|7.9|0.08|2006
Seven Samurai 20XX|PS2|Akció|Sammy Corporation|Dimps Corporation|7.3|0.08|2004
The Croods: Prehistoric Party!|DS|Akció|D3Publisher|Torus Games Pty. Ltd.|7.3|0.08|2013
Monkey Hero|PS|Akció|Take-Two Interactive|Blam!|7.3|0.08|1999
Akiba's Beat|PS4|Akció|Xseed Games|Acquire|7.3|0.08|2017
The Legend of Kage 2|DS|Akció|Taito|Taito Corporation|7.3|0.08|2008
Samurai Western|PS2|Akció|Atlus|Acquire|7.3|0.08|2005
Evil Dead: Regeneration|XB|Akció|THQ|Cranky Pants Games|7.3|0.08|2005
Toy Soldiers: War Chest|XOne|Akció|Ubisoft|Signal Studios|7.3|0.08|2015
Fatal Frame III: The Tormented|PS2|Akció|Tecmo|Tecmo|7.7|0.08|2005
Legend of Kay Anniversary|PS4|Akció|Nordic Games|Neon Studios|7.3|0.08|2015
Ninjabread Man|Wii|Akció|Conspiracy Entertainment|Data Design Interactive|7.3|0.08|2007
Harry Potter and the Sorcerer's Stone|GC|Akció|Electronic Arts|Warthog|7.3|0.08|2003
Jikkyou Powerful Pro Yakyuu Next|Wii|Sport|Konami|PawaPuro Production|7.3|0.08|2009
Pro Evolution Soccer 2013|PC|Sport|Konami Digital Entertainment|Konami|7.3|0.08|2012
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!|3DS|Akció|Bandai Namco Games|Bandai Namco Games|7.3|0.08|2016
C.O.P.: The Recruit|DS|Akció|Ubisoft|Ubisoft|5.7|0.08|2009
Dead Rising|PS4|Akció|Capcom|Capcom Production Studio 1|7.3|0.08|2016
The Secret Saturdays: Beasts of the 5th Sun|DS|Akció|D3 Publisher|OneNine Studios|7.3|0.08|2009
Famicom Mini: Adventure Island|GBA|Akció|Hudson Soft|Hudson|7.3|0.08|2004
RoadKill|XB|Akció|Midway Games|Terminal Reality|7.3|0.08|2003
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion|DS|Sport|Konami|Konami|7.3|0.08|2011
Rapala Pro Bass Fishing 2010|PS2|Sport|Activision|FUN Labs|7.3|0.08|2010
Striker 96|PS|Sport|Acclaim Entertainment|Rage Software|7.3|0.08|1996
NHL Breakaway 99|N64|Sport|Acclaim Entertainment|Iguana Entertainment|7.3|0.08|1998
Tony Hawk's Pro Skater 3|N64|Sport|Activision|Edge of Reality|8.1|0.08|2002
Little League World Series Baseball: Double Play|Wii|Sport|Activision|Now Production|7.3|0.08|2010
High Heat Major League Baseball 2004|XB|Sport|3DO|3DO|7.3|0.08|2003
Jillian Michaels Fitness Ultimatum 2010|DS|Sport|Majesco|Mistic Software|7.3|0.08|2009
Ultimate Duck Hunting|Wii|Sport|Zoo Digital Publishing|Collision Studios|7.3|0.08|2009
NHL Hitz 20-03|GC|Sport|Midway Games|EA Black Box|7.3|0.08|2002
All-Star Baseball 2004|GC|Sport|Acclaim Entertainment|Acclaim Entertainment|7.3|0.08|2003
Boxing Fever|GBA|Sport|Majesco|Digital Fiction|7.2|0.08|2001
Major League Baseball 2K12|DS|Sport|Take-Two Interactive|Visual Concepts, Ltd.|7.3|0.08|2012
MLB Front Office Manager|PS3|Sport|2K Sports|Blue Castle Games|7.3|0.08|2009
Skydiving Extreme|PS|Sport|Natsume|Banpresto|7.3|0.08|2001
New International Track & Field|DS|Sport|Konami|Sumo Digital|7.4|0.08|2008
Dragon Force II: Kamisarishi Daichi ni|SAT|Stratégia|Sega|Chime|7.3|0.08|1998
Quo Vadis|SAT|Stratégia|Glams|The EDGE Interactive|7.3|0.08|1995
Stella Deus: The Gate of Eternity|PS2|Stratégia|Atlus|Pinegrow|7.3|0.08|2005
Little League World Series Baseball: Double Play|DS|Sport|Activision|Black Lantern Studios|7.3|0.08|2010
10 Minute Solution|Wii|Sport|Activision|Anchor Bay Entertainment|7.3|0.08|2010
Outlaw Tennis|PS2|Sport|Global Star Software|Hypnotix|7.3|0.08|2005
Tony Hawk's Pro Skater 5|X360|Sport|Activision|Robomodo|7.3|0.08|2015
LEGO Soccer Mania|GBA|Sport|LEGO Media|Tiertex Design Studios|7.3|0.08|2002
Derby Tsuku: Derby Uma o Tsukurou!|DC|Sport|Sega|Sega|7.3|0.08|2000
Deadliest Catch: Sea of Chaos|PS3|Sport|Crave Entertainment|Double Tap|7.3|0.08|2010
ESPN NFL PrimeTime 2002|PS2|Sport|Konami|Farsight Technologies|7.3|0.08|2001
Swingerz Golf|GC|Sport|Eidos Interactive|Telenet|7.3|0.08|2002
Madden NFL 08|GC|Sport|EA Sports|EA Tiburon|7.6|0.08|2007
Pro Yakyuu Famista DS 2010|DS|Sport|Namco Bandai|Bandai Namco Games|7.3|0.08|2010
Captain Tsubasa|PS2|Sport|Bandai|Bandai Namco Games|7.3|0.08|2006
NBA 2K Playgrounds 2|PS4|Sport|2K Games|Saber Interactive|7.3|0.08|2018
Jikkyou Powerful Pro Yakyuu 12|GC|Sport|Konami|PawaPuro Production|7.3|0.08|2005
LEGO Soccer Mania|PS2|Sport|LEGO Media|Silicon Dreams|7.3|0.08|2002
NHL 2K7|X360|Sport|2K Sports|2K Sports|8.0|0.08|2006
Jikkyou Powerful Major League 2009|PS2|Sport|Konami|PawaPuro Production|7.3|0.08|2009
J-League Winning Eleven 2009: Club Championship|PS2|Sport|Konami|Konami|7.3|0.08|2009
FIFA Soccer 2005|GBA|Sport|EA Sports|EA Canada|8.1|0.08|2004
FIFA 18|PC|Sport|EA Sports|EA Vancouver|8.0|0.08|2017
Don King Boxing|DS|Sport|2K Sports|Venom Games|7.3|0.08|2009
Disney's Meet the Robinsons|X360|Akció|Disney Interactive Studios|Avalanche Software|7.3|0.08|2007
Incredible Crisis|PS|Akció|Titus|Polygon Magic|7.3|0.08|2000
Jikkyou Powerful Pro Yakyuu 15|Wii|Sport|Konami|PawaPuro Production|7.3|0.08|2008
Cabela's North American Adventures|PS2|Sport|Activision|Activision|7.3|0.08|2010
Pro Evolution Soccer 2008 (JP sales)|DS|Sport|Konami|Konami|7.3|0.08|2008
Diva Girls: Divas on Ice|Wii|Sport|505 Games|505 Games|7.3|0.08|2009
FIFA Street 2|XB|Sport|EA Sports BIG|EA Canada|7.3|0.08|2006
Orega Kantoku Da! Gekitou Pennant Race|PS2|Sport|Enix|Enix Corporation|7.3|0.08|2000
Diego's Build & Rescue|DS|Akció|2K Play|2K Play|7.3|0.08|2010
Gintama: Gin-San to Issho! Boku no Kabuki Machi Nikki|PS2|Akció|Namco Bandai|Bandai Namco Games|7.3|0.08|2007
Indycar Series 2005|XB|Akció|Codemasters|Unknown|7.3|0.08|2004
Medabots Dual: Kabuto / Kuwagata|3DS|Akció|Rocket Company|Jupiter Corporation|7.3|0.08|2013
World Series of Poker 2008: Battle for the Bracelets|X360|Akció|Activision|Unknown|7.3|0.08|2007
Knights Contract|PS3|Akció|Namco Bandai|Game Republic|5.8|0.08|2011
The Penguins of Madagascar: Dr. Blowhole Returns - Again!|PS3|Akció|THQ|THQ|7.3|0.08|2011
Super Sentai Battle: Ranger Cross|Wii|Akció|Namco Bandai|Namco Bandai Games|7.3|0.08|2011
Salon Superstar|DS|Szimuláció|505 Games|505 Games|7.3|0.08|2009
The Sims 3: Fast Lane Stuff|PC|Szimuláció|Electronic Arts|EA Redwood Shores|7.3|0.08|2010
Armored Core 3 Portable|PSP|Szimuláció|From Software|From Software|7.3|0.08|2009
Overcooked! 2|XOne|Szimuláció|Sold Out|Ghost Town Games|7.3|0.08|2018
The Sims 2: Ikea Home Stuff|PC|Szimuláció|Electronic Arts|Maxis|7.3|0.08|2008
Dreamer Series: Shop Owner|DS|Szimuláció|DreamCatcher Interactive|ZigZag Island|7.3|0.08|2009
Imagine: My Restaurant|DS|Szimuláció|Ubisoft|Vicarious Visions|7.3|0.08|2009
The Idolm@ster|X360|Szimuláció|Namco Bandai|Bandai Namco Games|7.3|0.08|2007
Major League Baseball 2K11|PC|Sport|2K Sports|Visual Concepts|7.3|0.08|2011
Slam 'n Jam '96 featuring Magic & Kareem|PS|Sport|Crystal Dynamics|Left Field Productions|7.3|0.08|1996
R.B.I. Baseball 2017|NS|Sport|MLB.com|MLB.com|7.3|0.08|2017
Captain Tsubasa: New Kick Off|DS|Sport|Konami|Konami|7.3|0.08|2010
NHL 06|GC|Sport|EA Sports|EA Canada|7.3|0.08|2005
Sports Collection|DS|Sport|Ubisoft|Ubisoft Pune|7.3|0.08|2010
Sub Rebellion|PS2|Szimuláció|Metro 3D|Irem Software Engineering|7.3|0.08|2002
Port Royale 3|PS3|Szimuláció|Kalypso Media|Gaming Minds Studios|7.3|0.08|2012
Black/Matrix|SAT|Stratégia|NEC Interchannel|Flight-Plan|7.3|0.08|1998
Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama|PSP|Stratégia|Acquire|ZeroDiv|7.3|0.08|2011
Get Fit with Mel B|Wii|Sport|Deep Silver|Lightning Fish|7.3|0.08|2011
Winter Stars|PS3|Sport|Deep Silver|49Games|7.3|0.08|2011
FIFA Soccer 2003|GC|Sport|EA Sports|EA Canada|7.3|0.08|2002
Backyard NBA Basketball|DS|Sport|Atari|Mistic Software|7.3|0.08|2007
Outlaw Golf|GC|Sport|Simon & Schuster Interactive|Hypnotix|7.3|0.08|2002
Super Football|2600|Sport|Atari|Atari|7.3|0.08|1988
Derby Stallion 98|SNES|Sport|ASCII Entertainment|ASCII Entertainment|7.3|0.08|1998
Worms: A Space Oddity|Wii|Stratégia|THQ|Team17 Software|7.3|0.08|2008
Future Card Buddyfight: Yuujou no Bakunetsu Fight!|3DS|Stratégia|FuRyu Corporation|FuRyu|7.3|0.08|2015
FabStyle|DS|Stratégia|Tecmo Koei|Tecmo Koei Games|7.3|0.08|2011
GOTHA: Ismailia Seneki|SAT|Stratégia|Sega|Micronet|7.3|0.08|1995
P.T.O. IV: Pacific Theater of Operations|PS2|Stratégia|KOEI|Koei|7.3|0.08|2003
Bakugan: Rise of the Resistance|DS|Stratégia|Activision|Activision|7.3|0.08|2011
WSC Real 11: World Snooker Championship|PS3|Sport|Koch Media|Dark Energy Digital|7.3|0.08|2011
101-in-1 Sports Megamix|DS|Sport|Atlus|Nordcurrent|7.3|0.08|2010
NCAA Football 08|XB|Sport|EA Sports|EA Tiburon|7.3|0.08|2007
Winter Sports 2: The Next Challenge|PS2|Sport|Conspiracy Entertainment|49Games|7.3|0.08|2008
The Sims 3: Barnacle Bay|PC|Szimuláció|Electronic Arts|Maxis|7.3|0.08|2011
Charm Girls Club: My Fashion Show|DS|Szimuláció|Electronic Arts|Electronic Arts Casual Studios|7.3|0.08|2009
Elite: Dangerous|XOne|Szimuláció|Frontier Developments|Frontier Developments|7.3|0.08|2017
Blazing Angels: Squadrons of WWII|XB|Szimuláció|Ubisoft|Ubisoft Romania|7.0|0.08|2006
Dungeon Travelers 2: The Royal Library & the Monster Seal|PSP|Szerepjáték|Aqua Plus|Sting|7.3|0.08|2013
Alien Syndrome|PSP|Szerepjáték|Sega|Totally Games|4.9|0.08|2007
Phantasy Star Online Episode III: C.A.R.D. Revolution|GC|Szerepjáték|Sega|Sonic Team|7.4|0.08|2004
Moe Chronicle|PSV|Szerepjáték|Compile Heart|Compile Heart|7.3|0.08|2014
Criminal Girls|PSP|Szerepjáték|Nippon Ichi Software|imageepoch Inc.|7.3|0.08|2010
Dragon Shadow Spell|PS2|Szerepjáték|Flight-Plan|Flight-Plan|7.3|0.08|2007
Little League World Series Baseball 2010|PS3|Sport|Activision|Now Production|7.3|0.08|2010
NBA 10 The Inside|PSP|Sport|Sony Computer Entertainment|SCEA San Diego Studios|6.5|0.08|2009
Dragon Slayer: The Legend of Heroes|GEN|Szerepjáték|Sega|Nihon Falcom Corporation|7.3|0.08|1994
Child of Light|PSV|Szerepjáték|Ubisoft|Ubisoft Montreal|7.3|0.08|2014
Slayers Royal 2|SAT|Szerepjáték|Kadokawa Shoten|Onion Egg|7.3|0.08|1998
Dawn of Heroes|DS|Szerepjáték|Majesco|Wicked Studios|7.3|0.08|2010
Lost Heroes 2|3DS|Szerepjáték|Bandai Namco Games|M2|7.3|0.08|2015
Majin Tensei|SNES|Szerepjáték|Atlus|Atlus Co.|7.3|0.08|1994
Dragon Ball Z: The Legacy of Goku I & II|GBA|Szerepjáték|Atari|Webfoot Technologies|7.3|0.08|2005
Hero Bank|3DS|Szerepjáték|Sega|Sega|7.3|0.08|2014
Rick & Morty Virtual Rick-Ality|PS4|Szimuláció|Nighthawk Interactive|Owlchemy Labs|7.3|0.08|2018
Petz Fantasy: Sunshine Magic|DS|Szimuláció|Ubisoft|Ubisoft|7.3|0.08|2010
Mission Runway|DS|Szimuláció|THQ|Arts Software|7.3|0.08|2009
Battlestar Galactica|XB|Szimuláció|VU Games|Warthog|7.3|0.08|2003
Fireblade|XB|Szimuláció|Midway Games|Kuju Entertainment|7.3|0.08|2002
ZhuZhu Babies|DS|Szimuláció|Activision|Black Lantern Studios|7.3|0.08|2011
Baroque|Wii|Szerepjáték|Atlus|Sting|5.2|0.08|2008
Conception: Please Give Birth to My Child!|PSP|Szerepjáték|Spike|Spike|7.3|0.08|2012
Zoo Tycoon (2013)|X360|Szimuláció|Microsoft Studios|Frontier Developments|7.3|0.08|2013
Ski-Doo Snowmobile Challenge|Wii|Versenyzős|Valcon Games|ColdWood Interactive|7.3|0.08|2009
Wreckin Crew|PS|Versenyzős|Telstar|Quickdraw Developments Ltd.|7.3|0.08|1998
Sega GT Online|XB|Versenyzős|Sega|Wow Entertainment|7.3|0.08|2004
TT Isle of Man: Ride on the Edge|XOne|Versenyzős|Big Ben Interactive|Kylotonn|7.3|0.08|2018
Driven|GC|Versenyzős|BAM! Entertainment|BAM! Entertainment|7.3|0.08|2002
Petz: Dogz Family|PSP|Szimuláció|Ubisoft|Ubisoft|7.3|0.08|2009
The Sims 2: Apartment Life|PC|Szimuláció|Electronic Arts|Maxis|7.3|0.08|2008
MXGP 3: The Official Motocross Videogame|NS|Versenyzős|Milestone S.r.l.|Milestone|7.3|0.08|2017
WWE Crush Hour|GC|Versenyzős|THQ|Pacific Coast Power & Light|7.3|0.08|2003
Assetto Corsa|PS4|Versenyzős|505 Games|Kunos Simulazioni|7.3|0.08|2016
Krazy Ivan|PS|Szimuláció|Sony Computer Entertainment|Psygnosis|7.3|0.08|1996
Silent Hunter III|PC|Szimuláció|Ubisoft|Ubisoft Romania|7.3|0.08|2005
Nicola Kanshuu: Model Oshare * Audition Platinum|3DS|Szimuláció|Alchemist|Alchemist|7.3|0.08|2012
Princess Maker 2|SAT|Szimuláció|Micro Cabin|Gainax|7.3|0.08|1995
Animal Planet: Emergency Vets|DS|Szimuláció|Activision|SilverBirch Studios|7.3|0.08|2009
WRC 6|PS4|Versenyzős|Namco Bandai Games|Bigben Interactive|7.3|0.08|2017
MX vs ATV All Out|XOne|Versenyzős|THQ Nordic|Rainbow Studios|7.3|0.08|2018
Monster Trucks DS|DS|Versenyzős|Majesco|Skyworks Technologies|7.3|0.08|2005
Gadget Racers|PS2|Versenyzős|Conspiracy Entertainment|Barnhouse Effect|7.3|0.08|2001
Jimmie Johnson's Anything With an Engine|PS3|Versenyzős|Konami|Isopod Labs|7.3|0.08|2011
Ford vs. Chevy|XB|Versenyzős|Global Star Software|2K Games|7.3|0.08|2005
The Dukes of Hazzard: Return of the General Lee|XB|Versenyzős|Ubisoft|Ratbag|7.3|0.08|2004
SRS: Street Racing Syndicate|GC|Versenyzős|Namco|Eutechnyx|7.3|0.08|2004
Pretty Rhythm Rainbow Live: Kira Kira My * Design|3DS|Szimuláció|Takara Tomy|Takara Tomy ARTS|7.3|0.08|2013
TrackMania DS|DS|Versenyzős|Atlus|Firebrand Games|7.5|0.08|2009
Gravel|PS4|Versenyzős|Milestone S.r.l.|Milestone S.r.l.|7.3|0.08|2018
SCORE International Baja 1000: The Official Game|PS3|Versenyzős|Activision|Left Field Productions|7.3|0.08|2008
Blood Drive|PS3|Versenyzős|Activision|Activision|7.3|0.08|2010
Monster Jam: Crush It|NS|Versenyzős|GameMill|GameMill|7.3|0.08|2017
GT Advance 3: Pro Concept Racing|GBA|Versenyzős|THQ|MTO|7.7|0.08|2002
R: Racing Evolution|GC|Versenyzős|Namco|Namco|6.1|0.08|2003
Penny Racers Party: Turbo-Q Speedway|Wii|Versenyzős|Takara Tomy|Takara Tomy|7.3|0.08|2008
Ride 2|XOne|Versenyzős|Milestone S.r.l|Milestone S.r.l.|7.3|0.08|2017
TOCA Race Driver 3: The Ultimate Racing Simulator|PS2|Versenyzős|Codemasters|Codemasters|7.3|0.08|2006
Pac-Man World Rally|GC|Versenyzős|Namco Bandai|Smart Bomb Interactive|7.3|0.08|2006
Build 'n Race|Wii|Versenyzős|Zoo Games|Icon Games|7.3|0.08|2009
Spintires: MudRunner - American Wilds|PS4|Versenyzős|Focus Home Interactive|Saber Interactive|7.3|0.08|2018
Pimp My Ride: Street Racing|PS2|Versenyzős|Activision|Virtuos|7.3|0.08|2009
Monster Energy Supercross - The Official Videogame|XOne|Versenyzős|Milestone S.r.l.|Milestone S.r.l.|7.3|0.08|2018
Wetrix|N64|Logikai|Ocean|Zed Two Limited|8.6|0.08|1998
S.C.A.R.S|PS|Versenyzős|Ubisoft|Vivid Image|7.3|0.08|1998
Face Racers: Photo Finish|3DS|Versenyzős|Majesco|Renegade Kid|7.3|0.08|2011
Initial D: Extreme Stage|PS3|Versenyzős|Sega|Sega|7.3|0.08|2008
The Italian Job|XB|Versenyzős|Eidos Interactive|Climax Group|7.3|0.08|2003
Big Mutha Truckers|GC|Versenyzős|THQ|Eutechnyx|7.3|0.08|2003
Micro Machines: World Series|XOne|Versenyzős|Codemasters|Codemasters|7.3|0.08|2017
Iggy's Reckin' Balls|N64|Versenyzős|Acclaim Entertainment|Iguana Entertainment|6.8|0.08|1998
Rapala Fishing Pro Series|PS4|Szimuláció|GameMill|Concrete Software, Inc.|7.3|0.08|2017
Miami Nights: Singles in the City|DS|Szimuláció|Ubisoft|Gameloft|7.3|0.08|2008
Pretty Rhythm: My Deco Rainbow Wedding|3DS|Szimuláció|Takara Tomy|Takara Tomy ARTS|7.3|0.08|2013
Touch Mechanic|DS|Szimuláció|Aspyr|Kando Games|7.3|0.08|2009
DanceDanceRevolution|X360|Szimuláció|Konami|Konami|7.3|0.08|2011
Kobitodzukan: Kobito no Fushigi - Jikken Set|3DS|Szimuláció|Nippon Columbia|Racjin|7.3|0.08|2013
Qubed|X360|Logikai|Atari|Various|7.3|0.08|2009
Bust-A-Move 2 Arcade Edition|N64|Logikai|Acclaim Entertainment|Probe Entertainment Limited|7.3|0.08|1998
Dream Day: Wedding Destinations|DS|Szimuláció|THQ|THQ|7.3|0.08|2009
Pony Friends 2|Wii|Szimuláció|Square Enix|Tantalus Interactive|7.3|0.08|2010
Theme Park|SAT|Szimuláció|Electronic Arts|Bullfrog Production|7.3|0.08|1995
X Rebirth|PC|Szimuláció|Egosoft|Egosoft|7.3|0.08|2013
Air Conflicts: Secret Wars|X360|Szimuláció|Kalypso|Games Farm|6.0|0.08|2011
R/C Stunt Copter|PS|Szimuláció|Titus|Big Grub / Shiny Entertainment, Inc.|7.3|0.08|1999
Kenshuui Tendo Dokuta|DS|Szimuláció|Spike|Spike|7.3|0.08|2004
Pilot ni Narou! 2|PS2|Szimuláció|Victor Interactive|BELUGA Computer Inc.|7.3|0.08|2001
12-Sai. Koisuru Diary|3DS|Kaland|Happinet|Unknown|7.3|0.08|2016
Tomb Raider: Underworld|PC|Kaland|Eidos Interactive|Crystal Dynamics|8.0|0.08|2008
Loading Human|PS4|Kaland|Maximum Games|Untold Games|7.3|0.08|2016
Deep Fear|SAT|Kaland|Sega|ISCO|7.3|0.08|1998
Horrid Henry's Horrid Adventure|DS|Kaland|Asylum Entertainment|TBA|7.3|0.08|2010
Virus|SAT|Kaland|Hudson Soft|Hudson Soft|7.3|0.08|1997
Cate West: The Vanishing Files|Wii|Kaland|Destineer|Destineer|7.3|0.08|2009
Lost in Blue: Shipwrecked|Wii|Kaland|Konami|Hudson Soft|7.3|0.08|2008
Scooby-Doo! Who's Watching Who?|PSP|Kaland|THQ|THQ|7.3|0.08|2006
Sentimental Graffiti: First Window|SAT|Kaland|NEC Interchannel|NEC Interchannel|7.3|0.08|1997
Grand Prix Challenge|PS2|Versenyzős|Atari|Atari|7.3|0.08|2003
Jimmie Johnson's Anything With an Engine|Wii|Versenyzős|Konami|Isopod Labs|7.3|0.08|2011
Whac-A-Mole|DS|Logikai|Activision|DC Studios|7.3|0.08|2005
Mario vs. Donkey Kong: Tipping Stars|3DS|Logikai|Nintendo|Nintendo Software Technology Corporation|6.5|0.08|2015
PQ: Practical Intelligence Quotient|PSP|Logikai|D3 Publisher|Now Production|7.3|0.08|2006
Disney's Planes|3DS|Kaland|Disney Interactive Studios|TOSE|7.3|0.08|2013
Prisoner of War|XB|Kaland|Codemasters|Wide Games|7.3|0.08|2002
Murder in Venice|DS|Kaland|City Interactive|City Interactive|7.3|0.08|2011
Cloudy With a Chance of Meatballs|PSP|Kaland|Ubisoft|Ubisoft Shanghai|6.0|0.08|2009
Gray Matter|PC|Kaland|Viva Media|Wizarbox Studios|7.3|0.08|2011
Man vs. Wild|Wii|Kaland|Crave Entertainment|Scientifically Proven|7.3|0.08|2011
Ro-Kyu-Bu!|PSP|Kaland|Kadokawa Shoten|Kadokawa Shoten|7.3|0.08|2011
Elebits: The Adventures of Kai and Zero|DS|Kaland|Konami|Konami|7.5|0.08|2009
Aibou DS|DS|Kaland|Tecmo|Tecmo|7.3|0.08|2009
IHRA Drag Racing: Sportsman Edition|PS2|Versenyzős|Bethesda Softworks|Bethesda Softworks|7.3|0.08|2006
Taiko no Tatsujin: Atsumete Tomodachi Daisakusen!|WiiU|Zene|Namco Bandai Games|Bandai Namco Games|7.3|0.08|2015
Just Dance: Disney Party 2|XOne|Zene|Ubisoft|Ubisoft San Francisco|7.3|0.08|2015
IA/VT Colorful|PSV|Zene|Marvelous Entertainment|Marvelous|7.3|0.08|2015
Tokimeki Memorial 4|PSP|Kaland|Konami|Konami|7.3|0.08|2009
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​|PS3|Kaland|Sony Computer Entertainment|Millennium Kitchen|7.3|0.08|2007
Code Lyoko: Fall of X.A.N.A.|DS|Kaland|Game Factory|Game Factory|7.3|0.08|2008
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure|GBA|Kaland|Activision|Humagade|7.3|0.08|2005
Gundam the 3D Battle|3DS|Akció|Namco Bandai|Namco Bandai Games|7.3|0.08|2011
